127.0.0.1 - - [27/Nov/2018:20:51:37 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [27/Nov/2018:20:51:45 +0800] "GET /webTest/ HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [27/Nov/2018:20:52:10 +0800] "GET /webTest/html/catalog.html HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [27/Nov/2018:20:52:24 +0800] "GET /webTest/html/catalog.html HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [27/Nov/2018:20:52:24 +0800] "GET /webTest/xml/cdcatalog_with_ex2.xml HTTP/1.1" 200 4842
0:0:0:0:0:0:0:1 - - [27/Nov/2018:20:52:24 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [27/Nov/2018:20:52:29 +0800] "GET /webTest/html/catalog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:20:53:07 +0800] "GET /webTest/html/catalog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:20:53:07 +0800] "GET /webTest/xml/cdcatalog_with_ex2.xml HTTP/1.1" 200 4837
0:0:0:0:0:0:0:1 - - [27/Nov/2018:20:53:08 +0800] "GET /webTest/html/catalog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:20:53:08 +0800] "GET /webTest/xml/cdcatalog_with_ex2.xml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:20:53:10 +0800] "GET /webTest/html/catalog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:20:53:10 +0800] "GET /webTest/xml/cdcatalog_with_ex2.xml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:20:53:29 +0800] "GET /webTest/html/catalog.html HTTP/1.1" 200 393
0:0:0:0:0:0:0:1 - - [27/Nov/2018:20:53:29 +0800] "GET /webTest/xml/cdcatalog_with_ex2.xml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:20:54:25 +0800] "GET /webTest/html/catalog.html HTTP/1.1" 200 460
0:0:0:0:0:0:0:1 - - [27/Nov/2018:20:54:25 +0800] "GET /webTest/xml/cdcatalog_with_ex2.xml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:20:54:42 +0800] "GET /webTest/html/catalog.html HTTP/1.1" 200 489
0:0:0:0:0:0:0:1 - - [27/Nov/2018:20:54:42 +0800] "GET /webTest/xml/cdcatalog_with_ex2.xml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:20:54:44 +0800] "GET /webTest/xsl/cdcatalog_ex2.xsl HTTP/1.1" 200 593
